Video Başlığı,Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,Kural_Etiketi,XLM_Turkce,Nihai_Etiket
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwhUjiYCTuo-TVwRMh4AaABAg,,@esracakr6439,,Enis arıkanın olduğu programlar gerçekden mükemmel oluyor. Gülmekden gözümden yaş geldi 😅  teşekkürler enis ❤,0,4 gün önce,Hayır,positive,0.9262,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugx7kTp63s6CTH3cd3J4AaABAg,,@serdarsatan5763,,"Muhhhhtttteeeşemm bölümmm...5 saat olsa sıkılmadan izlerdim...Sunan harika bir insan , konuk harika bir insan , gülmeyi seven içinden geldiği gibi gülebilebilen kalbi müthiş iki enerji sahnedeydi bugün...İyi ki varsınız hep olun....Sevgili Melis adım adım yükselişinin ilk programdan beri şahidi olmak çok güzel..Sen ve ekibin  Harikasınız  böyle devam ....Enis Arıkan harika bir insan yolu hep açık kahkahalarınız hep böyle boll olsun..Müthiş bölümdü👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏",0,2 gün önce (düzenlendi),Hayır,positive,0.9087,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzzGQILlJjwc2NLWmZ4AaABAg,,@venus32,,Çok eğlendiğim çok keyifli bir bölümdü ❤❤❤,1,2 gün önce,Hayır,positive,0.9402,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwUTfrMcKIOnZ4O6Tx4AaABAg,,@Plnblt2025,,Bi ara gülmekten kendi tükrüğümde boğuluyordum 😂😂😂😂😂,1,4 gün önce,Hayır,positive,0.4264,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugw183fbqZzWqz2u3Ed4AaABAg,,@senemyagisan2937,,"Aşırı iyi program olmuş, gözlerimden yaşlar aktı..
“Huysuz Virjin 4.0” hepimize hayırlı olsun..",0,3 gün önce,Hayır,positive,0.94,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwuUxAcMx2on2CRtkJ4AaABAg,,@esentos,,Kendime ödül diye şööyle kenara ayırıp keyifle izleyeceğim anı beklediğim prg😍,0,4 gün önce,Hayır,positive,0.8144,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugz4N_doHJ87h0UIjD14AaABAg,,@arzuzuzu61,,En çok beğendiğim programdı ...uzun zamandır bu kadar güldüğümü hatırlamıyorum 👏🏼👏🏼👏🏼❤️,0,1 gün önce,Hayır,positive,0.9149,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwYAYDW2vSClK-E8Ll4AaABAg,,@HazelinLondon,,Enis zaten her zaman muhteşemsin de burada da yine kırdın geçirdin ya ne güldüm 😂,0,2 gün önce,Hayır,positive,0.8743,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwHcQFivF2QcVnMnX14AaABAg,,@esragungor6591,,resmen gülmekten yanaklarım ağrıdı enis bu işin piri çok seviyorum 😍,0,13 saat önce,Hayır,positive,0.8533,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyowQnPk4XlTaGm5JN4AaABAg,,@xxWitchxx-x,,beynim resetlendi ❤❤❤,1,19 saat önce,Hayır,positive,0.8767,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxgVpcmQnv5ZCoy_9Z4AaABAg,,@Hazalrer,,melis in hayatta bildiği tek şey duygular mı shjsdhsj ne demek tonsurton ne demek anvelop ne demek,2,4 gün önce,Hayır,neutral,0.4974,,nötr,nötr
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwHaMU7rv5GBxBSYxt4AaABAg,,@2024winter,,Ay Enis aldıııınn arşa çıkardın kahkaları. O korkularına hiç gerek yok sen çok seviliyorsun❤️,0,1 gün önce,Hayır,positive,0.8066,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgynxGFVwaHDspgS3K14AaABAg,,@fatihtontas,,Gerçekten hayatımda bu kadar güldüğüm bir şey izlememiştim 🎉🎉😂😂😂😂,0,21 dakika önce,Hayır,positive,0.882,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyxYoEBXJx99kTkdWR4AaABAg,,@ssevvalimsibisey16,,Asırı samimi sıcak bi program olmus bayildimmm Enis Arıkana ❤,0,21 saat önce,Hayır,positive,0.9364,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyS5It7rlhyje893d94AaABAg,,@busrasoylemez2400,,Aşırı keyif aldım çok çok begendim ❤,0,2 gün önce,Hayır,positive,0.9487,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwkKYltuTF1ld--WlV4AaABAg,,@Myomw,,Enis Arıkan muhteşem bir detaysın ( biliyorum yorumları okuyorsundur sennnn ) 🫂💗,0,2 gün önce,Hayır,positive,0.9215,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzQr0i4Zh8j3oHEDLx4AaABAg,,@ÇağlaSalcı,,Ya henüz 29. Dakikadayım ve enis mükemmel biriiii ❤,0,2 gün önce,Hayır,positive,0.901,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxtemfFOTe_SUxLJ554AaABAg,,@MelisDalyan,,Zaten çok iyi bir format değil. Harikasınız harika😂😂😂😂,0,12 saat önce,Hayır,positive,0.8701,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugy6zwl6n2qMpRYEooF4AaABAg,,@ozlemozgur5412,,Uzun zamandır bu kadar gülmemiştim gözümden yaşlar geldi melis gibi peçete aradım bir ara 😂 enisin melise takılmaları melisin önceden arkadaş olmamalarına rağmen bunu hiç dert etmeyişi gülmesi eğlenmesi enisin bundan cesaret alarak daha da üstüne gitmesi programı çok çok eğlenceli hale getirmiş gerçekten çok teşekkürler ikinizede gülmeyi unuttuğumuz bu ülkede güzel bir nefesti bu program benim için,0,14 saat önce,Hayır,positive,0.7415,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyzvSMrEW0fCOpPFSB4AaABAg,,@sevgiakcay2202,,Enis için kocaman bir kalp bırakıyorum buraya ve umarım bunu okursun ve senin yüzünü güldürmüş olurum :)) çok seviliyorsun bunu unutma :D <3 Çok güldük çok eğlendik teşekkürler :)),0,18 saat önce (düzenlendi),Hayır,positive,0.9269,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyO0_aclhsceIx3ejB4AaABAg,,@aslhangundekal168,,Ahh Enis çok iyi geldi şuan gülmek 😂,0,2 gün önce,Hayır,positive,0.9175,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyR3tz6j4emfrbeEu94AaABAg,,@4cocuk1anne15,,"Harikaydınız, aşırı ama aşırı güldük. Tek sorun melisin arkasında gözümüze sokulan damak 🫣",0,3 gün önce,Hayır,positive,0.5522,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwYQs6doDD5w8GanId4AaABAg,,@sedasumer1631,,Çok keyifli bir bölümdü 🫶🏼❤️,0,2 gün önce,Hayır,positive,0.9423,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyNrpNaac4quxtq7Bp4AaABAg,,@sevdaaytac,,Bence de EN İYİ PROGRAM BUYDU Melis..❤,0,2 gün önce,Hayır,positive,0.9457,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwpzOrLRTyhtn43iUh4AaABAg,,@Roven35,,STARIMMMMMM,1,1 gün önce,Hayır,negative,0.546,,olumsuz,olumsuz
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugwm97CNmFCKX_9WHmp4AaABAg,,@handenurklc3421,,Bu zamana kadar izlediğim en iyi en komik şov bölümü ya,0,1 gün önce,Hayır,positive,0.9062,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugz0nJRy0o9f0xV1UTB4AaABAg,,@ezgikaraman5543,,Ya o kadar güzel ve o kadar eğlenceli bir programdı ki bayıldım bayıldım bunu açar açar izlerim 🥹❤️‍🔥,0,3 gün önce,Hayır,positive,0.9337,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugw3ur1RuVBvE8Mq6Kt4AaABAg,,@Madamkeyf,,mükemmel bi konuk ya gerçekten ayakta alkışlanır,0,1 gün önce,Hayır,positive,0.9279,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxQzRwyoG38iglFeEB4AaABAg,,@yesilgumus,,"Muhteşemmmm bi programdı,Enis Arıkan zekası diye bişey var.Gülmekten çenem ağrıdı.Bence zaten showun bir numaralı konuğuydu.",0,4 gün önce,Hayır,positive,0.8956,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugx4R3tuKLitPPWmgxl4AaABAg,,@aysenurcanpolat4499,,Bu bölümde herkes melis gibi gülmüştür:),0,2 gün önce,Hayır,positive,0.8941,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugxd_d1BajvD4xhGq0x4AaABAg,,@nextcoffee-z2y,,Cidden en iyi program olabilir çok iyi geldi eğlendim,0,3 gün önce,Hayır,positive,0.946,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzJNaDYutAWaNj0PMV4AaABAg,,@cakilome,,Aşırı iyi bir programdı,0,2 gün önce,Hayır,positive,0.9323,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxzB3MIL_H5SyqaeIt4AaABAg,,@hayrlreyyansahin5800,,Gülmekten çenem ağrıyor,2,4 gün önce,Hayır,negative,0.7822,,olumsuz,olumsuz
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugwfc5T-wD0os7AsdOF4AaABAg,,@ErenTheRN,,"beklentim bu kadar yoktu, çook eğlendim",0,3 gün önce,Hayır,positive,0.8127,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyKdCwDqMNlyCdPZdN4AaABAg,,@emineseymen8813,,Günümüzü böylesine renklendirdiginiz için teşekkürler Enis Melis ve ekip  💜💜 karnımdaki oğlum bile kahkahalarimla göbeğim sallandıkça içimde kıpır kıpırdı program boyunca sesinize gülüşünüze tepki verdi 🐣 müthiş bir bir buçuk saatti 🌼🎉,0,2 gün önce,Hayır,positive,0.8914,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugzva4Suo10Q5Rjdxuh4AaABAg,,@ffffff-f8rffff,,İyi yürekli insanlar hep olsun ve çoğalsın Enis iyiki varsın,0,1 gün önce,Hayır,positive,0.905,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxEJ35yvbpdUsVn3gN4AaABAg,,@guldenurtokat2838,,Kesinlikle şimdiye kadar ennnnnn güldüğüm programdı Melis gibi gözlerimden yaş gele gele güldüm,0,4 gün önce,Hayır,positive,0.886,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgysVwJgKCPGU3KAxSl4AaABAg,,@esra3978,,Açık ara enn ennn iyi bölüm en mükemmel konuktu gülmekten yoruldum bayılıyorum Eniiiiis 🤣🫶🏻,0,4 gün önce,Hayır,positive,0.9067,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwPSkVscyM1ACsuRpt4AaABAg,,@GurhangN,,21:12 yere düştüm Enisssssssss 😂😂😂,1,3 gün önce,Hayır,negative,0.4372,,olumsuz,olumsuz
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugztc11sxDDy8qajwKl4AaABAg,,@nermin-sngr,,Mükemmel bir bölümdü o kadar güldüm ki gözlerimden sürekli yaş geldi. İyi ki varsın Enis Arıkan.  Melis ile enerjiniz harikaydı🎉,0,3 gün önce,Hayır,positive,0.9437,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugz84vinbLT-xt6lpdp4AaABAg,,@MAY-k8o5w,,Aşırı seviyorum enis arıkan’ı. Gördüğümde neşem yerine geliyor resmen. Çok olumlu ve doğru bir aurası var. ❤❤❤ Allah daima güzellikle muamele etsin.,0,3 gün önce,Hayır,positive,0.9231,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwQv2tesmEeMf999iJ4AaABAg,,@sezenbaruk9799,,Enis Arıkan ın konuk olduğunu görünce izlemek istedim. Böylelikle Melis İşiten ‘in programını da ilk defa izlemiş oldum. Aşırı komik bir programdı bayılıyorum Enis in enerjisine 🎉😂,0,2 gün önce,Hayır,positive,0.9049,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxlfVbTq5NxnmOajJh4AaABAg,,@hafizesenaas,,Kıyamam ya Melis ablaya üzüldüm ilk defa hskajdks cidden çok güldüm ama kıyamam çok üstüne geldi enis şaka gerçi de kaldırabilmek de önemli tebrik ederim valla,0,4 saat önce,Hayır,positive,0.7823,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxXPWeitjU3CnSLzVN4AaABAg,,@muratdede1625,,enis arıkan mükemmel bir insan çok sempatik ve doğal severek izledim.,0,1 saat önce,Hayır,positive,0.9191,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgycsRaaYtniB0_54Nd4AaABAg,,@Hatice-v9b,,Ennn cook guldugum Enissss sen harikasın İyi ki iyi ki beee,0,2 gün önce,Hayır,positive,0.9254,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyRAN6DTWhhLxlzLcl4AaABAg,,@FidanNabili-d7v,,Bu kadar stressli hayatda bizi bu kadar guldurdugunuz icin tesekker ederim🙈❤ Bakuden sevgiler,0,4 gün önce,Hayır,positive,0.8657,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyrK2-hu2B6qjAancp4AaABAg,,@dilanaydn2488,,51:28 😂😂 deli yemin ederim😅,1,2 gün önce,Hayır,positive,0.6954,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugzvnlii5NPgCrpl9hd4AaABAg,,@erkanefeninoyungunlukleri,,İlk defa bı programı sonuna kadar izledim süper olmuş Enis Arıkan müthiş bir adam yaa valla o kadar iyi geldi ki ❤,0,8 saat önce,Hayır,positive,0.9351,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzEkjusIDuT4o_KOFh4AaABAg,,@JülideKoç,,"Sonuna doğru koptum, harikaydı. Emeğinize sağlık 🤍",0,21 saat önce,Hayır,positive,0.9315,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwhUsuhKIlvksupJch4AaABAg,,@handankaya879,,"Uzun süredir bu kadar gülmemiştim,Enis muhteşem bir karakter🫶",0,1 gün önce,Hayır,positive,0.9064,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugy86TKrmrfEI9rQmRh4AaABAg,,@bi.ra.1020,,İşre o beklenen kişiii wohuuuuuu🎉🎉🎉,0,17 saat önce,Hayır,positive,0.756,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxlKH3iKlO3VMWjT-V4AaABAg,,@tugceVera,,bütün programlarınızı izledim ennnn eğlenceli ennnn esprili en çok eglendigim bu bölümdü sana bayılıyorum Enis ya sen harika birisin aşırı doğal aşırı tatlı ayrıca yakışıklısın da eklemek istedim ♥️ Enis iyi ki meshursun ve hayatımıza girdin 🤍🤍🤍🤍,0,3 gün önce,Hayır,positive,0.9143,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwfqmTnQw-yN_yPTRN4AaABAg,,@Yourdailyhabibi,,26:13 HARİKA ZORBALIYO YA,0,3 saat önce,Hayır,negative,0.7805,,olumsuz,olumsuz
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyMsRc95WwbJX81f094AaABAg,,@berrebaltaoglu,,abi bu nasıl bir bolum yaaa deliricemmmmmm açıp açıp izlerim şüphesiz,0,4 gün önce,Hayır,positive,0.7021,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugww1e_UG5EsHAVsP7R4AaABAg,,@hacer5916,,Melis çok güzel bir kadınsın ya her şeyinle bayılıyorum sana,0,3 gün önce,Hayır,positive,0.9273,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugw8Ww3MNFwBObr7ogR4AaABAg,,@_betulbektas,,Enis arıkan gerçekten çok iyisin bayılıyorum sana,2,4 gün önce,Hayır,positive,0.9147,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugyp-69Tvada9Yn-Ft14AaABAg,,@dilaradiker5827,,Programi ilk defa Enis Arikan olduğu için izledim ve umarım bir gün senin enerjini yakından görürüm Enis bayılıyorum sana ruhuna mükemmel bir detaysın 💙💙💙  rabbim nazardan korusun 🧿🧿🧿,0,3 gün önce,Hayır,positive,0.9101,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugz_mNDqHrkMFoRsoeN4AaABAg,,@dilanaydn2488,,45:13  ya gülmekten tuvalete zor koştum yemin ederim 😂 yeteeer,0,2 gün önce,Hayır,positive,0.7505,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugxno5367p404pV8rTF4AaABAg,,@EsmanurAteş-p1v,,"Bugün gerçekten en çok güldüğüm şey bu program oldu hatta sadece bugün değil uzun süredir en çok güldüğüm şey bu bölümdü geriye sarıp sarıp güldüm o kadar güzel bi bölümdü ki yani 5 saat olsa hiç kesmeden,sıkılmadan izlerdim.çok iyi geldinizz ❤❤❤",0,3 gün önce,Hayır,positive,0.919,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxTfyBF9tL4YWBCmR14AaABAg,,@tulayoral5145,,Enis ne kadar güzel kalpli birisin ❤,0,5 saat önce,Hayır,positive,0.9221,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgzsPU-XUnLCcSs8a6B4AaABAg,,@ipatya01,,Başından sonuna Melis kadar güldüm. İçerikte Enis Arıkan yazması yeterli zaten benim için..Girdiği ortamın modunu yükselten bir isim.. Harikasın Enis ❤,0,3 gün önce,Hayır,positive,0.9166,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxhGZHF61zZfCF4aj54AaABAg,,@zelis_superisii9025,,"Enis tam bir oğlak burcu 😅
Dan diye söylüyor 🤣
Doğal komik, dobra, iyi yürekli, edepli, kontrolcü, temiz titiz, pratik, empatikl yeteneği yüksek..❤",0,4 saat önce (düzenlendi),Hayır,positive,0.8533,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxIpBZtauz6gj6-Yjh4AaABAg,,@busbusssssra,,En az Melis kadar çok güldümmmmm🤣,0,2 gün önce,Hayır,positive,0.8241,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwgW1jZiB3Kry5-m7t4AaABAg,,@tugbacamyaran4144,,Başıma ağrılar girdi gülmekten çok yaşa Enis Arıkan,0,1 gün önce,Hayır,negative,0.8137,,olumsuz,olumsuz
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwoNzsgAh3FhtRK-kx4AaABAg,,@fatmaaggungor,,YIKILLLLLDIIIIMMM 😂😂😂😂 ÇOKKKK İYİİİİ!!!!,2,4 gün önce,Hayır,positive,0.9092,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwC5kfPvXv37DwX-eF4AaABAg,,@selly1530,,Ben Enis Arıkan’ı kendi programında da izliyorum ama burda o kadar rahattı ki ve Melis de esprilere asla alınmadığı ve hep güldüğü için program ef sa ne oldu  ve gerçekten aşırı komik bir programdı. Bayıldım 😻,0,3 gün önce,Hayır,positive,0.9058,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugx3r_US7U-e0X-ysol4AaABAg,,@ruhumun_ikizii,,"Hhahahahah çok iyi yaa
Harbi keyfim yerime geldi😂",0,2 gün önce,Hayır,positive,0.9077,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwByZG_6g54N6_lZvJ4AaABAg,,@meryemozlemmertturk1629,,Enis harika bi insansın. Programı bayılarak izledim. Melis’in en iyi programı net bu oldu :),0,4 gün önce,Hayır,positive,0.9489,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgwOdbaZLxQsUbsv7d94AaABAg,,@Zeytinmn,,ya çok tatlı biri ya🫶🏼,0,2 gün önce,Hayır,positive,0.8798,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgxWjY0qws6IY3DcL5p4AaABAg,,@Endlessky,,Aa Enis Arıkan mı izleyeyim bari diye girdiğim her videoyu bidaha gülmekten çenem ağrıyarak ve hayran olarak bitiriyorum,0,3 gün önce,Hayır,positive,0.7471,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugx6hI0J36ePJpy96GN4AaABAg,,@emelcakmak2055,,Çok geç kalındı yaaa nazaman gelecek Enis Arıkan diye düşünüyordum.🙏👏,0,4 gün önce,Hayır,positive,0.5675,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,UgyZTF1oiUpLy64wKH94AaABAg,,@arzuarzu6543,,Programı ilk defa izledim çok harika bir ikili olmuş😊Enis hep güzelliklerle kal çok güzelsin❤Gülmekten gözümden yaşlar geldı 😂,0,23 saat önce,Hayır,positive,0.9322,,olumlu,olumlu
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,https://www.youtube.com/watch?v=2Ne1D3dIJ5M,Ugwh5ZueGFzfo7SjbcR4AaABAg,,@bilgeadsz5844,,Enisi neden ağlattın yaaaaa 😥😥😥,2,4 gün önce,Hayır,negative,0.8778,,olumsuz,olumsuz
