Video Başlığı,Yorum ID,Yorum Metni,Nihai_Etiket,etiket_id,Beğeni Sayısı,Yanıt Mı?,XLM_Roberta_Etiketi,XLM_Roberta_Confidence,Kural_Etiketi
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgyASDAMLE2dcD7w7_d4AaABAg,bizim yetisememeyis,olumsuz,1,0,Hayır,negative,0.5632,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugz_hcZsNQvGWL3s4Nh4AaABAg,İlk defa bu programı sonuna kadar izedim kadın çok iyi sorular soruyo en önemlisi konuğunu dinliyo sözünü kesmiyo saçma sapan sorular sormuyo hatta ben ilk defa cem yilmazi bukadar açık dinledim çok güzel bı porogram olmuş elinize emeğinize sağlık,olumlu,0,0,Hayır,positive,0.8425,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgwEcTx2j_DR2Z_Pn5p4AaABAg,emir net,nötr,2,4,Hayır,neutral,0.7263,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgwCr4nwFZtmShXp6PF4AaABAg,Buraya önce ekşi sözlük yorumlarını okuyarak geldim sonra şovun tamamını izledim Sayın sözlük yazarlarına şunu sormak istiyorum Bu programı nerenizle seyrettiniz cümlelerine nokta koyduklarım Ben ilk kez bu kadının programını izledim ne yapsın nasıl reaksiyon versin istiyordunuz fincanlarına kahve koyduklarım? Azıcık bir mizah anlayışı olan herhangi birimiz Melisa hanımın daki durumuna düşerdik Yılların televizyoncusu da olsaydık Zeka seviyeniz beni harbiden ürkütüyor Ekli Sözlük ümmeti,olumlu,0,0,Hayır,positive,0.3829,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugwup_ClUDdYtdefBgJ4AaABAg,Son zamanlarda biraz zor bir dönemden geçiyorum kafam oldukça dolu düşüncelerim birbirine karışmış halde… Böyle zamanlarda hiçbir şeye tam anlamıyla odaklanamıyorum içimde sürekli bir ağırlık hissi oluyor Ama video açılır açılmaz her zamanki gibi beni yavaşça içine aldı Sohbetin doğallığı mutfaktaki o sakin ama içten atmosfer arada yakalanan küçük ve samimi anlar… Hepsi zihnimi susturup kalbimi biraz olsun hafifletti Bir süreliğine de olsa her şeyi unuttum sadece izledim ve o anın içinde kaldım İnsan bazen böyle sade ama içten şeylere ne kadar ihtiyaç duyduğunu o an fark ediyor Gürültüsüz gösterişsiz ama samimi… Tam da iyi gelmesi gereken yerden dokundu diyebilirim O an içimden geçen tek şey “iyi geldi” oldu 🤍 Sanki kısa bir mola vermişim gibi içim biraz ferahladı yüzüm fark etmeden gülümsedi Emeğinize sağlık bu kadar doğal bu kadar huzur veren içerikler gerçekten çok kıymetli ✨ Şimdiden doğum günün kutlu olsun Emre umarım yeni yaşın sana kalbini hafifleten içini huzurla dolduran yüzünü sık sık gülümseten ve dönüp baktığında “iyi ki” dedirten anlarla dolu bir yıl getirir Her şey gönlünce olsun 🌸,olumsuz,1,6,Hayır,negative,0.7494,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugx_SDIuayTKCXLEiCZ4AaABAg.ARlVRqtXeKoARmAptMClEd,PUHUHHA Antep fıstığı mı?,olumsuz,1,2,Evet,negative,0.5391,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgxZzs5ZD3UesreJonB4AaABAg,TUĞBAA ❤️❤️,olumlu,0,1,Hayır,positive,0.8313,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgwwD9tG7-k83agtAaJ4AaABAg.AQl-UYm7E0PAWKtFQmBArk,😂😂,nötr,2,1,Evet,neutral,0.6561,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugy6-4ASl9mf76alfil4AaABAg,Sunucu kardeş yavaş gül çok bağırma ağzını KOCAMAN KOCAMAN açma Gülerken bademciklerini gösterme Gülerken böğürme Bak yap bunları ki millet torpilli olduğunu bu kadar net düşünmesin en azından,olumsuz,1,0,Hayır,negative,0.5592,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgyuhLRr5zpgo6DjfXZ4AaABAg,Daha videonun başında Emir ve Emre nin Selim bey şakası Emrecim ya elendiğine çok üzüldüm sonradan da hastalanıp gitti şöyle rahat rahat bir Emreyi izleyemedik bütün hainleri tek tek avlardı bu çocuk,olumsuz,1,0,Hayır,negative,0.9191,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugzf2jpTu7g8P_rPNMN4AaABAg,Çok güzel gözüküyor YEMEK❤❤,olumlu,0,0,Hayır,positive,0.921,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgwFuTuU4Ctb7eSdqCN4AaABAg,Atakanın gülmesi şakalarından daha komik şakaları da çok güzel ama,olumlu,0,12,Hayır,positive,0.8275,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgzeUgJAjKaCLty_YW94AaABAg,Camii haric her masada varsin Tam bir solcu sepetci kafasi 😞,olumsuz,1,0,Hayır,negative,0.9397,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzBudNYF6Tg9td437R4AaABAg.AUcQeMqeUquAUdvIstRKzQ,10 verdiya aq adam,olumsuz,1,0,Evet,negative,0.8043,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugw5U3eADTHeSCReo754AaABAg,Cem abi trt avaza çıkıp şaka komedi gösterisi yapabilir misin bizim evde her gece trt avaz izliyoz dedemlen nenem de gülsün abi 19 ocakta trt avaza çıkıp komiklik yapar mısın😂❤,olumlu,0,10,Hayır,positive,0.4672,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgymgpuB3B742gXWy9F4AaABAg,recep ivedik gun sahnesi,nötr,2,1,Hayır,neutral,0.5645,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugzxmw8fY5SKLWaz55p4AaABAg,Programı iyi yöneten kişi Melis olmuş zaten beğeniyordum burda da bir tebriği hak ediyor Gelen topları yumuşatmış cümlesinin karşılığı gibiydi Bölüm sonu yazılanlar çok iyi geldi,olumlu,0,25,Hayır,positive,0.8658,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugw1fwJtZp0S-266DZl4AaABAg,ABİ İKİNCİ SEZON ACİL GELSİN BEKLEMEDEYİZZ,öneri/tavsiye,3,0,Hayır,negative,0.5792,öneri/tavsiye
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwPIMyV99uMruz9BLp4AaABAg.AUc8r-lx7dfAUcDryPNVmc,la bitı knk sen hala bonus bolum diyorsun saka mısınız,olumsuz,1,4,Evet,negative,0.8529,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgxQNaWWhDNOAPYQrvF4AaABAg,Dbdhdjhdjdjdjdhdhd 40 Dakikadan sonra gülmekten karnım ağrıdı,olumsuz,1,0,Hayır,negative,0.5467,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugx-pL2ROV7eEdxygnB4AaABAg,cemile’nin tariften sapıp annesiyle sohbete dalması koparttı,olumsuz,1,228,Hayır,negative,0.7077,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzadgwUB2lj0HZwBcF4AaABAg,Bu bölümde olurya cuma günü okuldan gelmişsin en sevdiğin kişi video atmış keyifle izlersin tam şuanda o nostaljiyi yaşattı bu seri bana…,olumlu,0,587,Hayır,positive,0.8894,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwbAPbZ_VNmaaXkWeZ4AaABAg,2 günde tüm seriyi bitirdim çok keyifliydi valla Bonus enis yorumuna katılıyor destekliyorum,olumlu,0,1,Hayır,positive,0.915,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgyyrTFPPltTenG4SJ54AaABAg,Bugün en çok size güldük Melis iyi ki varsınız,olumlu,0,6,Hayır,positive,0.9242,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgwvpJX3cgAyjuvyfVp4AaABAg.AWBYh_U9_7IAWECAzcUtu9,Yurt dışında okuyacaktır,nötr,2,2,Evet,neutral,0.7072,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwPIMyV99uMruz9BLp4AaABAg.AUc8r-lx7dfAUcFreTTH4V,<kullaniciadi> açıklamayı oku bu ilk sezon 2 3 4 uzar daha,nötr,2,4,Evet,neutral,0.7452,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgzhPCWa8KA2sRhxQM14AaABAg,Ya şey Cemile ve Atakan evli mi,nötr,2,1,Hayır,neutral,0.6136,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugw0YdrjI93B734ZUMJ4AaABAg,Çghb kapanırsa buradan yürürsünüz kral 1 kuşak zamanında Youtube yoktu şuan sizin böyle bir şansız var iyi değerlendirin derim😅,olumlu,0,4,Hayır,positive,0.668,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgzkBMb1ncR7g7FDwxx4AaABAg,abi olur heralde yani hayal gücüne bağlı ama bu yüzden ıspanak yemeği olmayabilir,nötr,2,0,Hayır,neutral,0.6927,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwPIMyV99uMruz9BLp4AaABAg.AUc8r-lx7dfAUcxBRyeddU,Nolue gidilsin,olumsuz,1,0,Evet,negative,0.4879,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugw96QTWxXmCNA8pNiR4AaABAg,yeşim seni çok seviyoruz,olumlu,0,15,Hayır,positive,0.8202,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzluDT5Cguu4ZVlvIZ4AaABAg,Enis sevmediği tiksindigi insana farklı davraniyo AMK adama yazık yaslari bile farklı kendilerinden kaç yaş büyük biriyle uğraşıyorlar düştünüz gozumden,olumsuz,1,1,Hayır,negative,0.9247,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgxnHiIHmVymwWFMdh54AaABAg,Hemen hemen her bölümü izledim AMAA bu bölüm EF SA NEE RESEMEN EFSANEE 😂😂 HARÍKA BÍR BÖLÜM 😍 ENÍS ARIKAN FARKI BUDUR ÍSTEE 🤩🤣🤣,olumlu,0,1,Hayır,positive,0.7803,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgwzUFHzU_Gqg77FgBl4AaABAg,Melis ya 😂😂 agzını kapa demesi 🤣🤣,olumsuz,1,0,Hayır,negative,0.4088,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugymy4C8sJj1H47_Q9F4AaABAg,cem AĞBII kısmı nerde tam olarak,nötr,2,4,Hayır,neutral,0.6041,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgyxqghxLdDkBjyknu14AaABAg,Melih abinin youtube ne,nötr,2,1,Hayır,neutral,0.6245,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugxujh_vQTUlCm4w16R4AaABAg,oha beklemiyordum arabaşını,olumlu,0,0,Hayır,positive,0.3461,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgwWqJ2tyvVXEzoasXZ4AaABAg,MÜKEMMELSİN ENİS ❤,olumlu,0,0,Hayır,positive,0.9274,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgymLCCE8jiHalQfiCF4AaABAg,cem abi cem abi diye gezene kadar adamın işlerini izleseniz keske sorularin yarisi soru cevap dvdsinde anlatildi kimse zaten bilmiyordur bi daha anlatsin diye dusundu editorler sanirim sevgili 2004 lu editor arkadaslar bu adami agzindan cikan her kelimeyi biliyoruz tek bilmeyen sizsiniz ozellikle sunucu hanim ilk kez konusuyor kendisiyle sanirim GAK dese katılıyor,olumsuz,1,9,Hayır,negative,0.4105,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugwair_LjvlVP1deRmh4AaABAg.AUkprJZIUpQAUkq6wGLyxn,HAA eklemeyi unuttuğum tek nokta künefenin içindeki peynire kaşar deyip durdular ama içine kaşar koyulmaz özel tuzsuz künefe peyniri olmalı ki en güzeli Hatay’dadır o olmazsa olmaz,olumsuz,1,0,Evet,negative,0.7518,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgyAWmiLOHXNp8YXPrt4AaABAg,ABİ COK GÜZRL HAREKETLER YENİ BÖLÜMÜ NEDEN GELMİYOO,olumsuz,1,0,Hayır,negative,0.8377,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugxi3CpoL4DIIlnBl3h4AaABAg,Tuğba çok farklı bir kişilik ve gerçekten çok kaliteli bir insan bayıldım kendisine bu videoda,olumlu,0,2,Hayır,positive,0.9188,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugzf0vFm7HRfCgXalM14AaABAg,mükemmel videoydu yaa,olumlu,0,0,Hayır,positive,0.9197,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgyUI_jSjVCOf2l61314AaABAg,cem bey o zaman mesut can tomay ve ali biçimle video çekin,nötr,2,0,Hayır,neutral,0.5424,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgxIIbv4dfsNXI71WjN4AaABAg,yeni evlenecek bir gence bu sekilde belli edilmeden yardım edilmesi cok hos ellerinize saglık cok güzel bir seri olmus mlbb dende katkıları icin teşekkürler efendim,olumlu,0,0,Hayır,positive,0.8932,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugwa5liKul16t3Haex94AaABAg,Ben tıklarım görünce insanım basit bir Cem Yılmaz,nötr,2,11,Hayır,neutral,0.4589,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgynPMwSmAG-HZ_6FNp4AaABAg,Neyin saygisizligi kaan sekban kim Allahaskina yaptigi teklife bak adamda mizahi şekilde eleştirmiş boşa ağlamayın,olumsuz,1,1,Hayır,negative,0.904,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgxV9YqpmoG1DPLFqPR4AaABAg.AUepjvxso1CAUhjdMKR1fZ,​ <kullaniciadi> ne alaka? Tatlı kız demiş olm ne demiş adam,olumsuz,1,36,Evet,negative,0.3547,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgwVwHqT_Sy2yB3JjgB4AaABAg,Melıh amcanın sosyal medyada adı ne,nötr,2,0,Hayır,neutral,0.6336,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgwHX5iXvKRLfQRDOJp4AaABAg.AEKlxYdKl0mAERPbqd6MMd,Evet ya çok tatlıı❤,olumlu,0,6,Evet,positive,0.9058,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgyA-HF-rlZm7-3EbZx4AaABAg,RRAENEE ABİM SENİ AMA ÇOK SEVİYOM,olumlu,0,2,Hayır,positive,0.7855,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgxWWRU61s69NzfU9-J4AaABAg,Abi ben gitmek çok istiyordum anlatamam benim ENN ama ENN sevdiğim ünlü sizsiniz Sen Cenan ve Arif abi ben çgh2 canlı yayınınızdan beri belli bir gün olur diye bekliyordum sonra bunu öğrendim ÇOOK mutlu oldum heyecanla bilgilere girdim bir baktım ki +16 yada +18 yaşım TUTMUYORR OFF yaa gelemiyorum abi bari uzun halini yayınlasınız çünkü ben ÇOOK istiyorum LÜTFENN sizi çok SEVIYORUMM❤❤,olumlu,0,1,Hayır,positive,0.7828,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugxj7MX5azBRfQuk9NB4AaABAg,da şikayet sayısı yol süresiyle aynı…Şimdi bu bilgiyi alın napıyosanız yapın😔,şikayet,4,0,Hayır,negative,0.8499,şikayet
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugx5tcbouNwpIc1QBlF4AaABAg,Bitti ua,olumsuz,1,0,Hayır,negative,0.3806,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwYFLdXs1ujDDtC0-h4AaABAg,gelsin 2 sezon,öneri/tavsiye,3,0,Hayır,neutral,0.4263,öneri/tavsiye
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUec_EhZDR-,Tuğbayla Melisten öğrenen de ne BILIMM😂😂,nötr,2,2,Evet,neutral,0.4945,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgzvjBY6MaO0c2kCiZB4AaABAg,YouTube de bu tarz programlara çok göz gezdirdim sıkıntıdan 15 dakikadan fazla izlememişimdir Ama bu sefer son bölüme kadar dizi tadında izledim Umarım devamı gelir çok eğlenceli,olumlu,0,0,Hayır,positive,0.8084,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgyowQnPk4XlTaGm5JN4AaABAg,beynim resetlendi ❤❤,olumlu,0,1,Hayır,positive,0.8767,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgyY-fzCc6vb3VU1BeR4AaABAg,Aa Adana’da kebap öncesi makarna akar,nötr,2,1,Hayır,neutral,0.6154,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgwXkUkl_9-MorJ8zjt4AaABAg,O kadar laf attınız Yozgat a orda obur cubur çekebilirsiniz Ben şimdi istanbuldayım ama yazın sizi YOZGAT TA misafir edebilirim,olumsuz,1,0,Hayır,negative,0.4176,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgwX5apiEdcRH2M--hJ4AaABAg,Yaa harika bir program olmus bahıldım baştan sona bu kadar gülmem şakamı 🫠🥰,olumlu,0,0,Hayır,positive,0.9153,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyQUIPz4-7SFBvwNmh4AaABAg,arası anı anlatımı MÜKEMMELL aşırı gülüyorum Tuğba ya 😂😂,olumlu,0,0,Hayır,positive,0.906,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugydn2qtAxj7Ex-A4KN4AaABAg,Harikasın Enis ve kalbin çok guzel bunu çok iyi hissedebiliyorum ❤,olumlu,0,0,Hayır,positive,0.9353,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgzSaB81WPIJ0oIm-D54AaABAg,bu adamın bu kadar tatlı olduğunu bilmiyordum çok eğlenerek izledim enerjisi harika umuyorum hiç bozulmaz çok mutlu olur,olumlu,0,0,Hayır,positive,0.9351,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyHr1aIRVUDvkUD1ed4AaABAg,İzlediğim belli olsun yorumu 😊,olumlu,0,0,Hayır,positive,0.7132,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgzgyzOserbU8uoIldJ4AaABAg,Profesyonel gibi gözüken ama amatör intibası yaşatan videolara ölürüz ya Boş verin büyük ekipmanlı saçma sapan prodüksiyonlu videoları bu kanaldan devam,olumsuz,1,1 B,Hayır,negative,0.9245,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgwbHRFoA11IJFHh7J94AaABAg.AVzaj4d_eTZAW3hWNQ--6C,Bence de ❤,olumlu,0,2,Evet,positive,0.8287,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgwXuXw5xKg7DfiOMw94AaABAg,Tuğba yine gelsin yaa çok güzel video olmuş 🎉,öneri/tavsiye,3,1,Hayır,positive,0.9236,öneri/tavsiye
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugw9v5v_a7o7JJ5C6kF4AaABAg,çok zevkliydi tüm seri gerçekten devam ederse harika olur komedi filmi gibi izledik,olumlu,0,4,Hayır,positive,0.8834,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,Ugwvhe7m2DKX3XhmX214AaABAg.ARvOhWlf7NQAWJPEhvbLil,Haklısın kahkahadan yarılıyormuş gibi bayılıp şak diye soruya geçmesi vs sahte epey,olumsuz,1,0,Evet,negative,0.8029,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugx1Eu4cOSKTe2ke-td4AaABAg,Gülmekten nefes alamadığım bi video OLDUU,olumlu,0,0,Hayır,positive,0.7532,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgxB1P3OZcCIt3gHQ194AaABAg,Dayımıza kanal açıldımı D,olumlu,0,0,Hayır,positive,0.4854,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgwbHRFoA11IJFHh7J94AaABAg.AVzaj4d_eTZAVzljit7zQ-,Evet nolur,nötr,2,2,Evet,neutral,0.452,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugx6D6zlp9wP4gPLrIh4AaABAg,En düşük puanlı görür görmez bildirime tıkladım en sevdiğim seri gerçekten hiç bitmesin❤,olumlu,0,12,Hayır,positive,0.8394,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgyrOIunbwdfQLkyuLp4AaABAg,Cemile abla çok tatlı yaa ❤❤,olumlu,0,0,Hayır,positive,0.9052,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgykArFyZxJ3vR_eozB4AaABAg.ARn8qFsudrzARo-NYN1ESG,2 sahte insanın sahne aldığı ve birlikte kaan sekbanı gömmeye calistikları bom boş muhabbetler adam sanıp gittiğim gösterilerine yanarım kemal sunal vefatından sonra onlarca yıldır gönüllerde cem yılmaz bu gidişle daha vefat etmeden gönüllerden silecek kendini yazık karakter güçlü olmayınca zeka da pek durumu kurtaramıyor…,olumsuz,1,2,Evet,negative,0.8488,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgwpMPhncmwlLe0Gajp4AaABAg,Kaan Sekban bence kendi kulvarında gayet başarılı biri Cem Yılmaz dan açılış istemesi bence hadsizli değil masumca bir talep Yorumlar üzdü,olumsuz,1,48,Hayır,negative,0.8053,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgzePKkXNQoxjKIissh4AaABAg,Cenan ve Ömer yoksa bende yokum,olumsuz,1,1,Hayır,negative,0.4799,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,Ugxn3_ySC1mErAY4lJh4AaABAg.AEdnCfBGwvtAEeI0MV6wp2,<kullaniciadi> kız yeşimden başka kim olcak? Kardeşine söz konusu dahi olamaz,olumsuz,1,1,Evet,negative,0.4743,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,Ugzy3nRF5VCrjtinUkJ4AaABAg,Abi annen eğer İzmire gel derse gel öğretmenin izmirde murat görmez annenin arkadaşı vallahi abi seni görmüş telefonunda annenin telefon numarası var ama söylemedi,nötr,2,0,Hayır,neutral,0.4957,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgxOqxL_Mbuv-7-xFe54AaABAg,kahkaha atarak izledim,olumlu,0,0,Hayır,positive,0.4238,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgwLEGuP1Y2fgQ2mzE54AaABAg,Tuğba ablayla hemşeriymişiz,nötr,2,1,Hayır,neutral,0.4551,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugz0IO-zJPTxUXCuwal4AaABAg,İkiniz uyumu şahane olduğu enisin şakaları meclisin gülme krizleriyle ben de burda patladım şahane bir programdi shdhsjsnsnhd❤❤,olumlu,0,0,Hayır,positive,0.8531,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgwtxPEJL9tPRCIeJPx4AaABAg,😂😭,olumsuz,1,0,Hayır,negative,0.5718,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgwBMUnze0CbH8cEIKh4AaABAg.AUcA9akf9X5AUccQPjJiU2,Her güzel şeyin sonu var diyerekten 2 sezonu bekliyoruz,olumlu,0,0,Evet,positive,0.7525,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",UgyGARsQfgTtxGQBr5Z4AaABAg.AUcXvLuLHvKAUc_DhHc-mO,Bitti yeğen,olumsuz,1,4,Evet,negative,0.8316,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,Ugz9yc1--VXhIksJ1I14AaABAg,Bu kim ya o kadar uzun zaman oldu unuttum programı,olumsuz,1,3,Hayır,negative,0.7849,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgyNPSqo5zq-_xtq4lx4AaABAg,Ağaağagğa yeni video gelmiişş 🎉🎉 Cemile karamanlı mı?,olumlu,0,1,Hayır,positive,0.6804,
EN DÜŞÜK PUANLI YURT DIŞI TURU!,UgyHHwoyyY-I8PJEPfR4AaABAg,dexter hotel,nötr,2,8,Hayır,neutral,0.7488,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,Ugz9Fbhad4IhHZLdAzl4AaABAg,Vala ütü ev isi yemek Camasir isi o kadar keyifli geldi ki IZKERKEN😂😂,olumlu,0,0,Hayır,positive,0.6981,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgwkKYltuTF1ld--WlV4AaABAg,Enis Arıkan muhteşem bir detaysın biliyorum yorumları okuyorsundur SENN 🫂💗,olumlu,0,0,Hayır,positive,0.9215,
Cem Yılmaz | Melis İşiten ile Zaten Şov - 123. Bölüm,UgyGY0DoqPj2zlb-FOV4AaABAg,Son gösterisi çok güzeldi her zaman komik adam 💯😂,olumlu,0,5,Hayır,positive,0.9355,
AÇIK MUTFAK - EV PİZZASI @Tugbayiilmaaz,UgyTMX_5FtVzHkJbuQ94AaABAg,bende bogayim yukselenim aslan🎀🙂‍↕️🥳,olumlu,0,0,Hayır,positive,0.608,
Enis Arıkan | Melis İşiten ile Zaten Şov - 138. Bölüm,UgwTsnslBoh_zfXCj6h4AaABAg,Bitmesini istemedim resmen,olumsuz,1,0,Hayır,negative,0.8762,
AÇIK MUTFAK - ARABAŞI ÇORBASI @AtakanCemile,UgyhoBlKdJAbvpgIBO14AaABAg,Abi mük olmuş bir yozgatlı olarak mük yapmışsınız,olumsuz,1,0,Hayır,negative,0.4192,
"YEMEK İÇİN GELDİK, EVE ALMADILAR! ELRAEN, ERAY, LIMONIFY, KONSOL OYUN, RRAENEE",Ugw4ACo7vnxljC__KQt4AaABAg,Enis abi bu tarz videolar yine yap 🎉🎉,olumlu,0,0,Hayır,positive,0.7879,
